file_path,depression_angle,class,target_serial
data/raw/bulkcarrier_1.tiff,15,raw,bulkcarrier_1
data/raw/archive/Padded_imgs/ZIL131/HB15141.JPG,15,ZIL131,HB15141
data/raw/archive/Padded_imgs/ZIL131/HB15142 (copy).JPG,15,ZIL131,HB15142 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15142.JPG,15,ZIL131,HB15142
data/raw/archive/Padded_imgs/ZIL131/HB15143 (copy).JPG,15,ZIL131,HB15143 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15143.JPG,15,ZIL131,HB15143
data/raw/archive/Padded_imgs/ZIL131/HB15144 (copy).JPG,15,ZIL131,HB15144 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15144.JPG,15,ZIL131,HB15144
data/raw/archive/Padded_imgs/ZIL131/HB15145 (copy).JPG,15,ZIL131,HB15145 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15145.JPG,15,ZIL131,HB15145
data/raw/archive/Padded_imgs/ZIL131/HB15146 (copy).JPG,15,ZIL131,HB15146 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15146.JPG,15,ZIL131,HB15146
data/raw/archive/Padded_imgs/ZIL131/HB15147 (copy).JPG,15,ZIL131,HB15147 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15147.JPG,15,ZIL131,HB15147
data/raw/archive/Padded_imgs/ZIL131/HB15148 (copy).JPG,15,ZIL131,HB15148 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15148.JPG,15,ZIL131,HB15148
data/raw/archive/Padded_imgs/ZIL131/HB15150 (copy).JPG,15,ZIL131,HB15150 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15150.JPG,15,ZIL131,HB15150
data/raw/archive/Padded_imgs/ZIL131/HB15151 (copy).JPG,15,ZIL131,HB15151 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15151.JPG,15,ZIL131,HB15151
data/raw/archive/Padded_imgs/ZIL131/HB15152 (copy).JPG,15,ZIL131,HB15152 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15152.JPG,15,ZIL131,HB15152
data/raw/archive/Padded_imgs/ZIL131/HB15154 (copy).JPG,15,ZIL131,HB15154 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15154.JPG,15,ZIL131,HB15154
data/raw/archive/Padded_imgs/ZIL131/HB15156 (copy).JPG,15,ZIL131,HB15156 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15156.JPG,15,ZIL131,HB15156
data/raw/archive/Padded_imgs/ZIL131/HB15157 (copy).JPG,15,ZIL131,HB15157 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15157.JPG,15,ZIL131,HB15157
data/raw/archive/Padded_imgs/ZIL131/HB15158 (copy).JPG,15,ZIL131,HB15158 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15158.JPG,15,ZIL131,HB15158
data/raw/archive/Padded_imgs/ZIL131/HB15161 (copy).JPG,15,ZIL131,HB15161 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15161.JPG,15,ZIL131,HB15161
data/raw/archive/Padded_imgs/ZIL131/HB15162 (copy).JPG,15,ZIL131,HB15162 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15162.JPG,15,ZIL131,HB15162
data/raw/archive/Padded_imgs/ZIL131/HB15163 (copy).JPG,15,ZIL131,HB15163 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15163.JPG,15,ZIL131,HB15163
data/raw/archive/Padded_imgs/ZIL131/HB15165 (copy).JPG,15,ZIL131,HB15165 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15165.JPG,15,ZIL131,HB15165
data/raw/archive/Padded_imgs/ZIL131/HB15166 (copy).JPG,15,ZIL131,HB15166 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15166.JPG,15,ZIL131,HB15166
data/raw/archive/Padded_imgs/ZIL131/HB15168 (copy).JPG,15,ZIL131,HB15168 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15168.JPG,15,ZIL131,HB15168
data/raw/archive/Padded_imgs/ZIL131/HB15169 (copy).JPG,15,ZIL131,HB15169 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15169.JPG,15,ZIL131,HB15169
data/raw/archive/Padded_imgs/ZIL131/HB15175 (copy).JPG,17,ZIL131,HB15175 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15175.JPG,17,ZIL131,HB15175
data/raw/archive/Padded_imgs/ZIL131/HB15176 (copy).JPG,17,ZIL131,HB15176 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15176.JPG,17,ZIL131,HB15176
data/raw/archive/Padded_imgs/ZIL131/HB15177 (copy).JPG,17,ZIL131,HB15177 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15177.JPG,17,ZIL131,HB15177
data/raw/archive/Padded_imgs/ZIL131/HB15178 (copy).JPG,17,ZIL131,HB15178 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15178.JPG,17,ZIL131,HB15178
data/raw/archive/Padded_imgs/ZIL131/HB15179 (copy).JPG,17,ZIL131,HB15179 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15179.JPG,17,ZIL131,HB15179
data/raw/archive/Padded_imgs/ZIL131/HB15180 (copy).JPG,15,ZIL131,HB15180 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15180.JPG,15,ZIL131,HB15180
data/raw/archive/Padded_imgs/ZIL131/HB15181 (copy).JPG,15,ZIL131,HB15181 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15181.JPG,15,ZIL131,HB15181
data/raw/archive/Padded_imgs/ZIL131/HB15182 (copy).JPG,15,ZIL131,HB15182 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15182.JPG,15,ZIL131,HB15182
data/raw/archive/Padded_imgs/ZIL131/HB15184 (copy).JPG,15,ZIL131,HB15184 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15184.JPG,15,ZIL131,HB15184
data/raw/archive/Padded_imgs/ZIL131/HB15185 (copy).JPG,15,ZIL131,HB15185 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15185.JPG,15,ZIL131,HB15185
data/raw/archive/Padded_imgs/ZIL131/HB15186 (copy).JPG,15,ZIL131,HB15186 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15186.JPG,15,ZIL131,HB15186
data/raw/archive/Padded_imgs/ZIL131/HB15190 (copy).JPG,15,ZIL131,HB15190 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15190.JPG,15,ZIL131,HB15190
data/raw/archive/Padded_imgs/ZIL131/HB15191 (copy).JPG,15,ZIL131,HB15191 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15191.JPG,15,ZIL131,HB15191
data/raw/archive/Padded_imgs/ZIL131/HB15192 (copy).JPG,15,ZIL131,HB15192 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15192.JPG,15,ZIL131,HB15192
data/raw/archive/Padded_imgs/ZIL131/HB15193 (copy).JPG,15,ZIL131,HB15193 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15193.JPG,15,ZIL131,HB15193
data/raw/archive/Padded_imgs/ZIL131/HB15194 (copy).JPG,15,ZIL131,HB15194 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15194.JPG,15,ZIL131,HB15194
data/raw/archive/Padded_imgs/ZIL131/HB15195 (copy).JPG,15,ZIL131,HB15195 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15195.JPG,15,ZIL131,HB15195
data/raw/archive/Padded_imgs/ZIL131/HB15196 (copy).JPG,15,ZIL131,HB15196 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15196.JPG,15,ZIL131,HB15196
data/raw/archive/Padded_imgs/ZIL131/HB15197 (copy).JPG,15,ZIL131,HB15197 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15197.JPG,15,ZIL131,HB15197
data/raw/archive/Padded_imgs/ZIL131/HB15198 (copy).JPG,15,ZIL131,HB15198 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15198.JPG,15,ZIL131,HB15198
data/raw/archive/Padded_imgs/ZIL131/HB15199 (copy).JPG,15,ZIL131,HB15199 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15199.JPG,15,ZIL131,HB15199
data/raw/archive/Padded_imgs/ZIL131/HB15201 (copy).JPG,15,ZIL131,HB15201 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15201.JPG,15,ZIL131,HB15201
data/raw/archive/Padded_imgs/ZIL131/HB15202 (copy).JPG,15,ZIL131,HB15202 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15202.JPG,15,ZIL131,HB15202
data/raw/archive/Padded_imgs/ZIL131/HB15203 (copy).JPG,15,ZIL131,HB15203 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15203.JPG,15,ZIL131,HB15203
data/raw/archive/Padded_imgs/ZIL131/HB15206 (copy).JPG,15,ZIL131,HB15206 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15206.JPG,15,ZIL131,HB15206
data/raw/archive/Padded_imgs/ZIL131/HB15207 (copy).JPG,15,ZIL131,HB15207 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15207.JPG,15,ZIL131,HB15207
data/raw/archive/Padded_imgs/ZIL131/HB15208 (copy).JPG,15,ZIL131,HB15208 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15208.JPG,15,ZIL131,HB15208
data/raw/archive/Padded_imgs/ZIL131/HB15209 (copy).JPG,15,ZIL131,HB15209 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15209.JPG,15,ZIL131,HB15209
data/raw/archive/Padded_imgs/ZIL131/HB15210 (copy).JPG,15,ZIL131,HB15210 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15210.JPG,15,ZIL131,HB15210
data/raw/archive/Padded_imgs/ZIL131/HB15211 (copy).JPG,15,ZIL131,HB15211 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15211.JPG,15,ZIL131,HB15211
data/raw/archive/Padded_imgs/ZIL131/HB15212 (copy).JPG,15,ZIL131,HB15212 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15212.JPG,15,ZIL131,HB15212
data/raw/archive/Padded_imgs/ZIL131/HB15214 (copy).JPG,15,ZIL131,HB15214 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15214.JPG,15,ZIL131,HB15214
data/raw/archive/Padded_imgs/ZIL131/HB15216 (copy).JPG,15,ZIL131,HB15216 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15216.JPG,15,ZIL131,HB15216
data/raw/archive/Padded_imgs/ZIL131/HB15217 (copy).JPG,17,ZIL131,HB15217 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15217.JPG,17,ZIL131,HB15217
data/raw/archive/Padded_imgs/ZIL131/HB15218 (copy).JPG,15,ZIL131,HB15218 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15218.JPG,15,ZIL131,HB15218
data/raw/archive/Padded_imgs/ZIL131/HB15220 (copy).JPG,15,ZIL131,HB15220 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15220.JPG,15,ZIL131,HB15220
data/raw/archive/Padded_imgs/ZIL131/HB15221 (copy).JPG,15,ZIL131,HB15221 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15221.JPG,15,ZIL131,HB15221
data/raw/archive/Padded_imgs/ZIL131/HB15223 (copy).JPG,15,ZIL131,HB15223 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15223.JPG,15,ZIL131,HB15223
data/raw/archive/Padded_imgs/ZIL131/HB15224 (copy).JPG,15,ZIL131,HB15224 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15224.JPG,15,ZIL131,HB15224
data/raw/archive/Padded_imgs/ZIL131/HB15227 (copy).JPG,15,ZIL131,HB15227 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15227.JPG,15,ZIL131,HB15227
data/raw/archive/Padded_imgs/ZIL131/HB15229 (copy).JPG,15,ZIL131,HB15229 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15229.JPG,15,ZIL131,HB15229
data/raw/archive/Padded_imgs/ZIL131/HB15230 (copy).JPG,15,ZIL131,HB15230 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15230.JPG,15,ZIL131,HB15230
data/raw/archive/Padded_imgs/ZIL131/HB15231 (copy).JPG,15,ZIL131,HB15231 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15231.JPG,15,ZIL131,HB15231
data/raw/archive/Padded_imgs/ZIL131/HB15232 (copy).JPG,15,ZIL131,HB15232 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15232.JPG,15,ZIL131,HB15232
data/raw/archive/Padded_imgs/ZIL131/HB15233 (copy).JPG,15,ZIL131,HB15233 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15233.JPG,15,ZIL131,HB15233
data/raw/archive/Padded_imgs/ZIL131/HB15235 (copy).JPG,15,ZIL131,HB15235 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15235.JPG,15,ZIL131,HB15235
data/raw/archive/Padded_imgs/ZIL131/HB15236 (copy).JPG,15,ZIL131,HB15236 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15236.JPG,15,ZIL131,HB15236
data/raw/archive/Padded_imgs/ZIL131/HB15237 (copy).JPG,15,ZIL131,HB15237 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15237.JPG,15,ZIL131,HB15237
data/raw/archive/Padded_imgs/ZIL131/HB15238 (copy).JPG,15,ZIL131,HB15238 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15238.JPG,15,ZIL131,HB15238
data/raw/archive/Padded_imgs/ZIL131/HB15239 (copy).JPG,15,ZIL131,HB15239 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15239.JPG,15,ZIL131,HB15239
data/raw/archive/Padded_imgs/ZIL131/HB15240 (copy).JPG,15,ZIL131,HB15240 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15240.JPG,15,ZIL131,HB15240
data/raw/archive/Padded_imgs/ZIL131/HB15241 (copy).JPG,15,ZIL131,HB15241 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15241.JPG,15,ZIL131,HB15241
data/raw/archive/Padded_imgs/ZIL131/HB15242 (copy).JPG,15,ZIL131,HB15242 (copy)
data/raw/archive/Padded_imgs/ZIL131/HB15242.JPG,15,ZIL131,HB15242
data/raw/archive/Padded_imgs/ZIL131/HB15243 (copy).JPG,15,ZIL131,HB15243 (copy)
